,lat,lon
415,-15.8005,-40.849
416,-15.8005,-40.649
417,-15.8005,-40.349
418,-15.8005,-40.549
419,-15.8005,-40.449
420,-15.8005,-40.749
421,-15.7005,-46.749
422,-15.7005,-46.849
423,-15.8005,-40.249
424,-15.7005,-46.649
425,-15.7005,-46.449
426,-15.7005,-46.349
427,-15.7005,-46.549
428,-15.7005,-46.249
429,-15.7005,-46.149
430,-15.7005,-45.849
431,-15.7005,-45.949
432,-15.7005,-46.049
433,-15.7005,-45.749
434,-15.7005,-45.649
435,-15.7005,-45.349
436,-15.7005,-45.549
437,-15.7005,-45.249
438,-15.7005,-45.449
439,-15.7005,-44.849
440,-15.7005,-45.149
441,-15.7005,-44.949
442,-15.7005,-45.049
443,-15.7005,-44.749
444,-15.7005,-44.649
445,-15.7005,-44.549
446,-15.7005,-44.449
447,-15.7005,-44.349
448,-15.7005,-44.049
449,-15.7005,-44.149
450,-15.7005,-44.249
451,-15.7005,-43.849
452,-15.7005,-43.749
453,-15.7005,-43.949
454,-15.7005,-43.549
455,-15.7005,-43.649
456,-15.7005,-43.349
457,-15.7005,-43.449
458,-15.7005,-43.149
459,-15.7005,-43.049
460,-15.7005,-42.949
461,-15.7005,-43.249
462,-15.7005,-42.849
463,-15.7005,-42.749
464,-15.7005,-42.649
465,-15.7005,-42.549
466,-15.7005,-42.349
467,-15.7005,-42.449
468,-15.7005,-42.249
469,-15.7005,-42.149
470,-15.7005,-42.049
471,-15.7005,-41.949
472,-15.7005,-41.849
473,-15.7005,-41.749
474,-15.7005,-41.649
475,-15.7005,-41.249
476,-15.7005,-41.349
477,-15.7005,-41.449
478,-15.7005,-41.549
479,-15.7005,-41.049
480,-15.7005,-40.949
481,-15.7005,-41.149
482,-15.7005,-40.849
483,-15.6005,-46.949
484,-15.7005,-40.749
485,-15.6005,-46.849
486,-15.7005,-40.649
487,-15.6005,-46.549
488,-15.6005,-46.749
489,-15.6005,-46.349
490,-15.6005,-46.449
491,-15.6005,-46.649
492,-15.6005,-46.149
493,-15.6005,-46.049
494,-15.6005,-45.949
495,-15.6005,-46.249
496,-15.6005,-45.749
497,-15.6005,-45.849
498,-15.6005,-45.649
499,-15.6005,-45.549
500,-15.6005,-45.449
501,-15.6005,-45.249
502,-15.6005,-45.349
503,-15.6005,-45.149
504,-15.6005,-45.049
505,-15.6005,-44.849
506,-15.6005,-44.949
507,-15.6005,-44.549
508,-15.6005,-44.649
509,-15.6005,-44.749
510,-15.6005,-44.449
511,-15.6005,-44.349
512,-15.6005,-44.249
513,-15.6005,-44.149
514,-15.6005,-44.049
515,-15.6005,-43.749
516,-15.6005,-43.949
517,-15.6005,-43.849
518,-15.6005,-43.649
519,-15.6005,-43.449
520,-15.6005,-43.249
521,-15.6005,-43.549
522,-15.6005,-43.349
523,-15.6005,-43.149
524,-15.6005,-43.049
525,-15.6005,-42.949
526,-15.6005,-42.849
527,-15.6005,-42.649
528,-15.6005,-42.749
529,-15.6005,-42.449
530,-15.6005,-42.549
531,-15.6005,-42.149
532,-15.6005,-42.049
533,-15.6005,-42.249
534,-15.6005,-42.349
535,-15.6005,-41.649
536,-15.6005,-41.849
537,-15.6005,-41.749
538,-15.6005,-41.949
539,-15.6005,-41.549
540,-15.6005,-41.349
541,-15.6005,-40.949
542,-15.6005,-41.449
543,-15.5005,-46.849
544,-15.5005,-46.749
545,-15.5005,-46.949
546,-15.6005,-40.849
547,-15.5005,-46.449
548,-15.5005,-46.649
549,-15.5005,-46.549
550,-15.5005,-46.349
551,-15.5005,-46.249
552,-15.5005,-45.949
553,-15.5005,-46.149
554,-15.5005,-46.049
555,-15.5005,-45.849
556,-15.5005,-45.749
557,-15.5005,-45.649
558,-15.5005,-45.449
559,-15.5005,-45.549
560,-15.5005,-45.049
561,-15.5005,-45.249
562,-15.5005,-45.149
563,-15.5005,-45.349
564,-15.5005,-44.949
565,-15.5005,-44.749
566,-15.5005,-44.849
567,-15.5005,-44.649
568,-15.5005,-44.549
569,-15.5005,-44.249
570,-15.5005,-44.349
571,-15.5005,-44.449
572,-15.5005,-43.749
573,-15.5005,-44.149
574,-15.5005,-44.049
575,-15.5005,-43.849
576,-15.5005,-43.949
577,-15.5005,-43.649
578,-15.5005,-43.449
579,-15.5005,-43.249
580,-15.5005,-43.549
581,-15.5005,-43.349
582,-15.5005,-43.149
583,-15.5005,-43.049
584,-15.5005,-42.849
585,-15.5005,-42.949
586,-15.5005,-42.549
587,-15.5005,-42.449
588,-15.5005,-42.349
589,-15.5005,-42.649
590,-15.5005,-42.749
591,-15.5005,-41.949
592,-15.5005,-42.049
593,-15.5005,-42.149
594,-15.5005,-42.249
595,-15.5005,-41.649
596,-15.5005,-41.749
597,-15.5005,-41.549
598,-15.5005,-41.449
599,-15.5005,-41.849
600,-15.4005,-46.949
601,-15.5005,-41.349
602,-15.4005,-46.749
603,-15.4005,-46.849
604,-15.4005,-46.349
605,-15.4005,-46.549
606,-15.4005,-46.649
607,-15.4005,-46.249
608,-15.4005,-46.449
609,-15.4005,-45.949
610,-15.4005,-45.849
611,-15.4005,-46.049
612,-15.4005,-46.149
613,-15.4005,-45.349
614,-15.4005,-45.549
615,-15.4005,-45.649
616,-15.4005,-45.749
617,-15.4005,-45.449
618,-15.4005,-45.149
619,-15.4005,-44.949
620,-15.4005,-45.049
621,-15.4005,-45.249
622,-15.4005,-44.549
623,-15.4005,-44.649
624,-15.4005,-44.449
625,-15.4005,-44.849
626,-15.4005,-44.749
627,-15.4005,-44.249
628,-15.4005,-44.049
629,-15.4005,-44.349
630,-15.4005,-44.149
631,-15.4005,-43.649
632,-15.4005,-43.749
633,-15.4005,-43.949
634,-15.4005,-43.849
635,-15.4005,-43.349
636,-15.4005,-43.249
637,-15.4005,-43.149
638,-15.4005,-43.449
639,-15.4005,-43.549
640,-15.4005,-42.749
641,-15.4005,-42.949
642,-15.4005,-43.049
643,-15.4005,-42.849
644,-15.4005,-42.549
645,-15.4005,-42.649
646,-15.4005,-42.249
647,-15.4005,-42.449
648,-15.4005,-42.349
649,-15.4005,-41.849
650,-15.4005,-42.049
651,-15.4005,-41.949
652,-15.4005,-42.149
653,-15.4005,-41.749
654,-15.4005,-41.649
655,-15.4005,-41.549
656,-15.4005,-41.449
657,-15.3005,-46.949
658,-15.3005,-46.849
659,-15.3005,-46.549
660,-15.3005,-46.749
661,-15.3005,-46.649
662,-15.3005,-46.149
663,-15.3005,-46.249
664,-15.3005,-46.349
665,-15.3005,-46.449
666,-15.3005,-45.649
667,-15.3005,-45.949
668,-15.3005,-46.049
669,-15.3005,-45.849
670,-15.3005,-45.749
671,-15.3005,-45.149
672,-15.3005,-45.349
673,-15.3005,-45.549
674,-15.3005,-45.449
675,-15.3005,-45.249
676,-15.3005,-45.049
677,-15.3005,-44.749
678,-15.3005,-44.849
679,-15.3005,-44.949
680,-15.3005,-44.449
681,-15.3005,-44.649
682,-15.3005,-44.549
683,-15.3005,-44.349
684,-15.3005,-43.849
685,-15.3005,-43.949
686,-15.3005,-44.149
687,-15.3005,-44.049
688,-15.3005,-44.249
689,-15.3005,-43.649
690,-15.3005,-43.749
691,-15.3005,-43.549
692,-15.3005,-43.449
693,-15.3005,-43.049
694,-15.3005,-43.349
695,-15.3005,-43.249
696,-15.3005,-43.149
697,-15.3005,-42.549
698,-15.3005,-42.849
699,-15.3005,-42.649
700,-15.3005,-42.949
701,-15.3005,-42.749
702,-15.3005,-42.249
703,-15.3005,-42.349
704,-15.3005,-42.449
705,-15.3005,-42.049
706,-15.3005,-41.849
707,-15.3005,-42.149
708,-15.3005,-41.949
709,-15.3005,-41.549
710,-15.3005,-41.749
711,-15.2005,-46.849
712,-15.3005,-41.649
713,-15.2005,-46.949
714,-15.2005,-46.349
715,-15.2005,-46.449
716,-15.2005,-46.549
717,-15.2005,-46.749
718,-15.2005,-46.649
719,-15.2005,-46.049
720,-15.2005,-46.249
